Student Name,Student ID,Faculty,Year of Intake,Expected Year of Graduation,Gender,Major Courses,Sponsorship Status,Nationality,Units to Complete Degree,Level of Education, Classes Attended,Classes to Graduate
Jane Wilson,58974519,School of Pharmacy & Health Sciences,2024,2027,Male,Nursing,Sponsored,Mexican,140,Undergraduate,30,42
John Jones,80851154,"School of Graduate Studies, Research & Extension",2023,2024,Female,Research Methodology,Self-sponsored,French,37,Masters,46,14
Mary Wilson,72647539,"School of Communication, Cinematic & Creative Arts",2024,2026,Female,Film Production,Sponsored,Brazilian,51,Masters,34,12
Emily Wilson,63134019,School of Humanities & Social Sciences,2024,2028,Male,International Relations,Sponsored,Brazilian,51,PhD,24,15
John Jones,37873362,"School of Communication, Cinematic & Creative Arts",2023,2025,Female,Graphic Design,Sponsored,German,43,Masters,22,16
John Wilson,65192035,School of Humanities & Social Sciences,2023,2028,Male,Psychology,Self-sponsored,Brazilian,59,PhD,43,12
Sarah Wilson,94388113,School of Humanities & Social Sciences,2025,2029,Male,Psychology,Sponsored,Rwandan,123,Undergraduate,13,40
John Brown,50771074,School of Science & Technology,2025,2029,Male,Mathematics,Self-sponsored,German,152,Undergraduate,44,41
Mary Davis,14179525,School of Pharmacy & Health Sciences,2022,2023,Other,Nursing,Self-sponsored,Indian,53,Masters,35,15
Michael Brown,51632051,"School of Graduate Studies, Research & Extension",2023,2027,Female,Advanced Statistics,Self-sponsored,Rwandan,129,Undergraduate,12,43
Mary Doe,10658293,"School of Graduate Studies, Research & Extension",2025,2029,Other,Thesis Writing,Sponsored,Australian,129,Undergraduate,35,41
Michael Smith,80466996,"School of Communication, Cinematic & Creative Arts",2024,2026,Other,Journalism,Sponsored,Indian,39,Masters,30,12
Mary Davis,88236499,"School of Communication, Cinematic & Creative Arts",2025,2028,Female,Film Production,Sponsored,Indian,156,Undergraduate,16,44
Peter Doe,65540940,"School of Communication, Cinematic & Creative Arts",2022,2026,Male,Film Production,Self-sponsored,Chinese,53,PhD,22,14
Peter Williams,98973783,School of Humanities & Social Sciences,2022,2026,Other,International Relations,Self-sponsored,American,77,PhD,31,15
David Smith,59148819,"School of Communication, Cinematic & Creative Arts",2023,2025,Other,Journalism,Sponsored,Indian,37,Masters,44,16
Peter Williams,11035758,School of Humanities & Social Sciences,2025,2028,Female,International Relations,Sponsored,Nigerian,159,Undergraduate,22,43
Jane Davis,89661036,"School of Graduate Studies, Research & Extension",2022,2025,Other,Thesis Writing,Sponsored,South African,47,PhD,32,13
Mary Wilson,16793346,"School of Communication, Cinematic & Creative Arts",2025,2028,Other,Film Production,Self-sponsored,Canadian,62,PhD,23,13
Jane Doe,78715632,School of Science & Technology,2025,2030,Male,Computer Science,Sponsored,Nigerian,87,PhD,10,13
Sarah Smith,42814685,Chandaria School of Business,2023,2027,Other,Finance,Self-sponsored,Australian,151,Undergraduate,10,43
Jane Smith,95332560,"School of Communication, Cinematic & Creative Arts",2023,2025,Female,Film Production,Self-sponsored,British,59,Masters,28,15
Mary Smith,68259711,School of Science & Technology,2022,2027,Male,Computer Science,Self-sponsored,French,90,PhD,20,15
Mary Miller,26872676,School of Humanities & Social Sciences,2024,2026,Other,International Relations,Sponsored,German,40,Masters,20,16
Jane Wilson,56603537,School of Pharmacy & Health Sciences,2023,2025,Male,Nursing,Sponsored,Tanzanian,57,Masters,32,12
Mary Doe,30162263,School of Humanities & Social Sciences,2025,2028,Other,Sociology,Self-sponsored,Chinese,127,Undergraduate,45,42
Emily Jones,85411908,"School of Graduate Studies, Research & Extension",2023,2024,Other,Research Methodology,Sponsored,American,41,Masters,33,14
Sarah Williams,69621026,School of Science & Technology,2022,2024,Male,Biotechnology,Self-sponsored,Mexican,38,Masters,37,16
John Doe,70514131,"School of Graduate Studies, Research & Extension",2024,2028,Male,Thesis Writing,Sponsored,Brazilian,155,Undergraduate,34,41
Jane Miller,98155634,School of Science & Technology,2023,2025,Male,Computer Science,Self-sponsored,Kenyan,32,Masters,34,13
John Williams,74609791,School of Humanities & Social Sciences,2023,2026,Male,Sociology,Self-sponsored,Kenyan,82,PhD,23,14
David Brown,65943993,Chandaria School of Business,2024,2026,Other,Finance,Self-sponsored,Indian,42,Masters,27,16
David Davis,30880597,"School of Graduate Studies, Research & Extension",2023,2028,Male,Advanced Statistics,Self-sponsored,British,64,PhD,15,15
Jane Smith,99509135,Chandaria School of Business,2024,2028,Female,Marketing,Sponsored,Mexican,55,PhD,48,15
Jane Smith,66468408,Chandaria School of Business,2022,2025,Other,Marketing,Self-sponsored,Chinese,148,Undergraduate,17,40
John Davis,95672589,School of Pharmacy & Health Sciences,2025,2028,Other,Nursing,Self-sponsored,Kenyan,151,Undergraduate,35,41
David Doe,16129114,School of Science & Technology,2022,2023,Other,Computer Science,Self-sponsored,French,40,Masters,28,16
Sarah Miller,79427667,"School of Graduate Studies, Research & Extension",2025,2028,Female,Advanced Statistics,Sponsored,Rwandan,123,Undergraduate,22,40
David Jones,11524005,"School of Communication, Cinematic & Creative Arts",2023,2028,Female,Graphic Design,Sponsored,Nigerian,79,PhD,38,14
Peter Miller,29280516,School of Humanities & Social Sciences,2025,2028,Other,International Relations,Self-sponsored,Mexican,126,Undergraduate,14,41
Sarah Miller,48877495,Chandaria School of Business,2025,2028,Male,Finance,Sponsored,Mexican,147,Undergraduate,49,40
